,Nº de Série do DOF,RegistroEntrada
420,556943,2019-09-27 18:12:00
421,364990,2019-09-25 12:50:00
422,557210,2019-11-02 15:39:00
423,465255,2019-09-25 12:50:00
424,534336,2019-09-27 18:12:00
425,538466,2019-09-27 11:42:00
426,542933,2019-09-25 12:50:00
427,543786,2019-09-25 12:50:00
428,448467,2019-09-27 18:12:00
429,441361,2019-11-02 15:39:00
430,607534,2019-10-28 17:34:00
431,441147,2019-09-27 18:12:00
432,627050,2019-11-02 15:39:00
433,688885,2019-09-25 12:50:00
434,623467,2019-09-25 12:50:00
435,623388,2019-09-25 12:50:00
436,623437,2019-10-28 17:34:00
437,315849,2019-09-25 12:50:00
438,314423,2019-09-27 11:42:00
439,561408,2019-11-02 15:39:00
440,469281,2019-10-28 17:34:00
441,465845,2019-09-25 12:50:00
442,648338,2019-09-27 18:12:00
443,282417,2019-09-27 18:12:00
444,457454,2019-11-02 15:39:00
445,552661,2019-09-25 12:50:00
446,457075,2019-11-02 15:39:00
447,618990,2019-10-28 17:34:00
448,358228,2019-09-27 18:12:00
449,686489,2019-09-25 12:50:00
450,435723,2019-09-25 12:50:00
451,351230,2019-09-27 18:12:00
452,377758,2019-09-27 11:42:00
453,248857,2019-09-25 12:50:00
454,244733,2019-09-25 12:50:00
455,244442,2019-09-27 11:42:00
456,531914,2019-10-28 17:34:00
457,530909,2019-10-28 17:34:00
458,533093,2019-09-27 18:12:00
459,529933,2019-09-27 18:12:00
460,586715,2019-11-02 15:39:00
461,433012,2019-11-02 15:39:00
462,368084,2019-09-27 18:12:00
463,486196,2019-09-27 11:42:00
464,504104,2019-09-27 11:42:00
465,504314,2019-09-27 18:12:00
466,484197,2019-10-28 17:34:00
467,487494,2019-10-28 17:34:00
468,605104,2019-09-27 18:12:00
469,466970,2019-09-27 11:42:00
470,549786,2019-11-02 15:39:00
471,679951,2019-11-02 15:39:00
472,610750,2019-09-27 11:42:00
473,252952,2019-09-25 12:50:00
474,559039,2019-11-02 15:39:00
475,576869,2019-10-28 17:34:00
476,408286,2019-10-28 17:34:00
477,574910,2019-10-28 17:34:00
478,451609,2019-09-27 11:42:00
479,638072,2019-09-27 18:12:00
480,640058,2019-09-27 11:42:00
481,645939,2019-11-02 15:39:00
482,424916,2019-09-27 11:42:00
483,565135,2019-11-02 15:39:00
484,394015,2019-10-28 17:34:00
485,480014,2019-09-27 18:12:00
486,382186,2019-09-27 18:12:00
487,560316,2019-09-27 18:12:00
488,283754,2019-09-27 18:12:00
489,423402,2019-10-28 17:34:00
490,329783,2019-09-27 18:12:00
491,519331,2019-11-02 15:39:00
492,568491,2019-09-25 12:50:00
493,683701,2019-09-27 18:12:00
494,504371,2019-11-02 15:39:00
495,250118,2019-09-27 11:42:00
496,478961,2019-11-02 15:39:00
497,557107,2019-09-27 11:42:00
498,566879,2019-09-27 18:12:00
499,614636,2019-11-02 15:39:00
500,570259,2019-09-25 12:50:00
501,611789,2019-09-25 12:50:00
502,542815,2019-10-28 17:34:00
503,542106,2019-09-25 12:50:00
504,469778,2019-09-27 11:42:00
505,385986,2019-09-25 12:50:00
506,483569,2019-09-25 12:50:00
507,586584,2019-10-28 17:34:00
508,506714,2019-09-27 18:12:00
509,507361,2019-09-27 18:12:00
510,533823,2019-09-27 18:12:00
511,615570,2019-09-27 11:42:00
512,673139,2019-09-25 12:50:00
513,670653,2019-10-28 17:34:00
514,633228,2019-10-28 17:34:00
515,633925,2019-10-28 17:34:00
516,548957,2019-09-27 18:12:00
517,518176,2019-11-02 15:39:00
518,422753,2019-09-27 11:42:00
519,533647,2019-10-28 17:34:00
520,532505,2019-11-02 15:39:00
521,653116,2019-09-27 11:42:00
522,541834,2019-09-25 12:50:00
523,536052,2019-09-27 18:12:00
524,527225,2019-10-28 17:34:00
525,600697,2019-09-25 12:50:00
526,325407,2019-10-28 17:34:00
527,457803,2019-11-02 15:39:00
528,627033,2019-10-28 17:34:00
529,644679,2019-09-27 11:42:00
530,682728,2019-09-27 18:12:00
531,630700,2019-09-27 18:12:00
532,629656,2019-10-28 17:34:00
533,313869,2019-10-28 17:34:00
534,558103,2019-10-28 17:34:00
535,647423,2019-09-27 18:12:00
536,649000,2019-11-02 15:39:00
537,647381,2019-09-25 12:50:00
538,638541,2019-10-28 17:34:00
539,537693,2019-10-28 17:34:00
540,642306,2019-09-27 11:42:00
541,282368,2019-09-25 12:50:00
542,504898,2019-09-27 11:42:00
543,487460,2019-10-28 17:34:00
544,485431,2019-09-27 11:42:00
545,530796,2019-09-27 18:12:00
546,473521,2019-10-28 17:34:00
547,663808,2019-09-27 18:12:00
548,242161,2019-09-27 11:42:00
549,621298,2019-10-28 17:34:00
550,570004,2019-10-28 17:34:00
551,571476,2019-09-27 11:42:00
552,476768,2019-09-27 18:12:00
553,479051,2019-10-28 17:34:00
554,406515,2019-09-27 18:12:00
555,405785,2019-10-28 17:34:00
556,592699,2019-09-25 12:50:00
557,593065,2019-09-27 18:12:00
558,243464,2019-10-28 17:34:00
559,390339,2019-09-25 12:50:00
560,520503,2019-10-28 17:34:00
561,613297,2019-11-02 15:39:00
562,496977,2019-09-27 18:12:00
563,262267,2019-09-27 18:12:00
564,547679,2019-11-02 15:39:00
565,602345,2019-10-28 17:34:00
566,499773,2019-09-27 18:12:00
567,523373,2019-11-02 15:39:00
568,524416,2019-10-28 17:34:00
569,610775,2019-09-27 18:12:00
570,633971,2019-09-25 12:50:00
571,427127,2019-11-02 15:39:00
572,557314,2019-09-25 12:50:00
573,461922,2019-11-02 15:39:00
574,575961,2019-11-02 15:39:00
575,550244,2019-09-27 18:12:00
576,370336,2019-09-25 12:50:00
577,485168,2019-09-27 11:42:00
578,648336,2019-10-28 17:34:00
579,564176,2019-11-02 15:39:00
580,638779,2019-09-27 18:12:00
581,641982,2019-09-27 18:12:00
582,381124,2019-11-02 15:39:00
583,338688,2019-09-27 18:12:00
584,544804,2019-10-28 17:34:00
585,628982,2019-09-27 11:42:00
586,504384,2019-10-28 17:34:00
587,528212,2019-09-25 12:50:00
588,467730,2019-09-27 18:12:00
589,537415,2019-10-28 17:34:00
590,469047,2019-11-02 15:39:00
591,567579,2019-09-27 18:12:00
592,444928,2019-09-27 11:42:00
593,281502,2019-09-25 12:50:00
594,277635,2019-09-25 12:50:00
595,637155,2019-10-28 17:34:00
596,510779,2019-09-27 18:12:00
597,671989,2019-11-02 15:39:00
598,514622,2019-09-25 12:50:00
599,520620,2019-09-27 11:42:00
600,516656,2019-09-25 12:50:00
601,516696,2019-09-25 12:50:00
602,514554,2019-09-25 12:50:00
603,396450,2019-11-02 15:39:00
604,397997,2019-09-25 12:50:00
605,399285,2019-09-27 11:42:00
606,567750,2019-09-27 18:12:00
607,494164,2019-09-27 11:42:00
608,482132,2019-09-27 11:42:00
609,523421,2019-09-25 12:50:00
610,253914,2019-09-27 11:42:00
611,501573,2019-09-25 12:50:00
612,502466,2019-11-02 15:39:00
613,500830,2019-09-27 18:12:00
614,627004,2019-09-27 18:12:00
615,653082,2019-09-27 18:12:00
616,534717,2019-09-25 12:50:00
617,657128,2019-09-27 18:12:00
618,493191,2019-09-25 12:50:00
619,577347,2019-09-27 11:42:00
620,576675,2019-11-02 15:39:00
621,576545,2019-11-02 15:39:00
622,468572,2019-11-02 15:39:00
623,401981,2019-09-27 18:12:00
624,577550,2019-09-27 11:42:00
625,477302,2019-09-27 18:12:00
626,404093,2019-09-27 11:42:00
627,554090,2019-10-28 17:34:00
628,323000,2019-09-27 18:12:00
629,556127,2019-09-27 11:42:00
630,557229,2019-10-28 17:34:00
631,462649,2019-09-27 18:12:00
632,465403,2019-10-28 17:34:00
633,359763,2019-09-25 12:50:00
634,497984,2019-09-27 18:12:00
635,632618,2019-09-27 18:12:00
636,599648,2019-09-27 18:12:00
637,318046,2019-09-27 11:42:00
638,507009,2019-10-28 17:34:00
639,428758,2019-10-28 17:34:00
640,403980,2019-09-27 18:12:00
641,497402,2019-11-02 15:39:00
642,523594,2019-11-02 15:39:00
643,451348,2019-10-28 17:34:00
644,514772,2019-09-27 11:42:00
645,336022,2019-10-28 17:34:00
646,594463,2019-11-02 15:39:00
647,450608,2019-09-25 12:50:00
648,448457,2019-10-28 17:34:00
649,424910,2019-09-27 18:12:00
650,399271,2019-11-02 15:39:00
651,698751,2019-09-25 12:50:00
652,666535,2019-09-27 11:42:00
653,443349,2019-11-02 15:39:00
654,369905,2019-09-27 18:12:00
655,543363,2019-09-25 12:50:00
